NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,English_Name 英语人物姓名,VIAF,YOB 出生年份,YOD 逝世年份,Dialect_Group 方言群,Hometown_in_Details 细致祖籍地,Search_by_Place_of_Birth 出生地检索,NLB_Link NLB链接
67,Focused,蔡金吉,Choa Kim Keat,,1859,1907,闽/Hokkien,福建/Fujian,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/QA2Y9MGr1iE&label=Choa,%20Kim%20Keat"
68,Focused,蔡金钟,Chua Kim Cheng,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/kFm3H85C1iA&label=Chua,%20Kim%20Cheng"
69,Focused,曹亚志,Chow Ah Chey,,1782,1830,粤/Canton,"广东省台山县/Taishan County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Tv_J6kx4rBY&label=Chow,%20Ah%20Chey"
70,Focused,陈成宝,Tan Seng Poh,,1830,1879,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province ",吡叻州/Perak,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/UE60xiWL1wQ&label=Tan,%20Seng%20Poh"
71,Focused,陈楚楠,Tan Chor Lam,,1884,1971,闽/Hokkien,"福建省厦门市/Xiamen City, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/W_qFAPj71FQ&label=Tan,%20Chor%20Lam"
72,Focused,陈笃生,Tan Tock Seng,,1798,1850,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/SZQ0-Eg2OaI&label=Tan,%20Tock%20Seng"
73,Focused,陈恭锡,Tan Keong Saik,,1850,1909,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/TZsTLGv-VBg&label=Tan,%20Keong%20Saik"
74,Focused,陈金声,Tan Kim Seng,,1805,1864,闽/Hokkien,"福建省永春县/Yongchun County, Fujian Province",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/NUgZcmpW4M0&label=Tan,%20Kim%20Seng"
75,Focused,陈金钟,Tan Kim Ching (Cheng),,1829,1892,闽/Hokkien,"福建省海澄县/Haicheng County, Fujian Province",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/sfW7ug_cULQ&label=Tan,%20Kim%20Ching"
76,Focused,陈明水,Tan Beng Swee,,1828,1884,闽/Hokkien,"福建省永春县/Yongchun County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/I-46To1i4V4&label=Tan,%20Beng%20Swee"
77,Focused,陈齐贤,Tan Chay Yan,,1871,1916,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/wgiF7NOFqE8&label=Tan,%20Chay%20Yan"
78,Focused,陈人浩,Chen Jen Hao,,1908,1976,闽/Hokkien,福建省福州市/Fuzhou city of Fujian,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Uy_bIIorbFY&label=Chen,%20Jen%20Hao"
79,Focused,陈若锦,Tan Jiak Kim,,1859,1917,闽/Hokkien,"福建省永春县/Yongchun County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/ZoFXPI2DB8o&label=Tan,%20Jiak%20Kim"
80,Focused,陈诗武,Tan See Boo,,1833,1884,闽/Hokkien,中国/China,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/keptfrcss1A&label=Tan,%20See%20Boo"
81,Focused,陈思敏,Tan Soo Bin,,1882,1939,闽/Hokkien,"福建省永春县/Yongchun County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Q16WDjTYS14&label=Tan,%20Soo%20Bin"
82,Focused,陈送,Tan Che Sang (Inhek Sang),,1762,1835,闽/Hokkien,"福建省漳州/Zhangzhou, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/C1fRaUNX76s&label=Tan,%20Che%20Sang"
83,Focused,陈泰,Tan Tye,,1839,1898,闽/Hokkien,"福建省金门县/Jinmen County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/SK_oD4KuA_Q&label=Tan,%20Tye"
84,Focused,陈旭年,Tan Yeok Nee,,1827,1902,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/x3Y7AjbmOTI&label=Tan,%20Yeok%20Nee"
85,Focused,陈延反,Tan Yan Huan,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/1WaP6ohcjvg&label=Tan,%20Yan%20Huan"
86,Focused,陈仰安,Tan Ngiang Ann,,1940,1976,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Fjxl1FvkxRQ&label=Tan,%20Ngiang%20Ann"
87,Focused,陈永锡,Tan Yong Siak,,1831,1914,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/YIK060j8XQQ&label=Tan,%20Yong%20Siak"
88,Focused,陈永裕,Tan Eng Joo,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/4MfBOgbCVQM&label=Tan,%20Eng%20Joo"
89,Focused,陈振传,Tan Chin Tuan,,1908,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/B8-NL4QDntY&label=Tan,%20Chin%20Tuan"
90,Focused,陈之初,Tan Tsze Chor,,1911,1983,潮/Teochew,"广东省潮州/Chaozhou, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/9Pyik69c3w0&label=Tan,%20Tsze%20Chor"
91,Focused,陈宗瑞,Chen Chong Swee,,1910,1985,潮/Teochew,"广东省潮州/Chaozhou, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/9Z_ZeyCkRh4&label=Chen,%20Chong%20Swee"
92,Focused,戴河水,Tay Ho Swee,,1834,1903,闽/Hokkien,"福建省漳浦县/Zhangpu County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/_fq34IHw3oE&label=Tay,%20Ho%20Swee"
93,Focused,丁马成,Teng Mah Seng,,1915,1992,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/9YY9_a3gicU&label=Teng,%20Mah%20Seng"
94,Focused,杜进才,Toh Chin Chye,,1921,2012,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/8_aKFoKxeNo&label=Toh,%20Chin%20Chye"
95,Focused,傅无闷,Fu Wumen,,1892,1965,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/AKdiGxiZWgU&label=Fu,%20Wumen"
96,Focused,符致逢,Foo Chee Fong,,Nil,1975,琼/Hainan,"广东省文昌县（今属海南省）/Wenchang County, Guangdong Province (Now at Hainan Province)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/GbzXT7vDTJs&label=Foo,%20Chee%20Fong"
