objectid,noname,pinyin,simplified_chinese,tarditional_chinese,official_name,address,postal_code,new_address,x,y,long,lat,foundingdate,phone,maingods,origin,origindetail,foundinglocation,website,united,subtemples,photos
124,202.000000000000000,Fengshan Gong Congmao Yuan Jiu Huang Da Di,凤山宫  葱茅园,鳳山宮  蔥茅園,Hong San Temple,49 Defu Lane 12 ( off Airport Road) 539142,539142,49 DEFU LANE 12,35076.067943700000000,35825.758742860002000,103.896901240000010,1.340269130000000,,6280 6519,九皇大帝,福建省,福建省,,,0,NA,NA
29,56.000000000000000,Chanding Foxuehui,禅定佛学会,禪定佛學會,Samadhi Buddhist Society,34 Tembeling Road  423643,423643,134 TEMBELING ROAD,35694.086506079999000,32566.072178400002000,103.902453690000000,1.310789550000000,,6247 9361    ,,NA,NA,,http://web.singnet.com.sg/~samadhi ,0,NA,NA
93,154.000000000000000,Dehai Gong ,德海宫,德海宮,Dehai Gong ,30-32 Bedok Reservoir Road 479231,479231,32 BEDOK RESERVOIR ROAD,36312.290611190001000,34827.486104090000000,103.908009160000010,1.331240800000000,,,,NA,NA,,,1,"德海宫

1. 德海宮
2. 玉海棠觀音救苦會
3. 崇德善堂",NA
19,31.000000000000000,Beihai She,北海社,北海社,Pei Hai Seventh Moon Scoiety,282-A Bedok Shopping Complex 469439,469439,282A BEDOK ROAD,40799.826114629999000,34899.362788869999000,103.948332160000010,1.331889260000000,,6441 2725,四海龙王,NA,NA,,,0,NA,NA
72,128.000000000000000,Dabei Fojiao Zhongxin,大悲佛教中心 ,大悲佛教中心,Tai Pei Buddhist Centre,2 Lavender Street  338823,338823,2 LAVENDER STREET,31477.379507590002000,32397.933377509999000,103.864564509999990,1.309269720000000,,6298 3343 ,观世音菩萨,广东省,广东省,,,0,NA,NA
97,158.000000000000000,Dejiao Taihe Guan Xinqiao Lu,德教太和观  新桥路,德教太和觀  新橋路,Thye Hua Kwan Moral Society  New Bridge Road,"1 North Bridge Road #23-03
High Street Centre 179094",179094,1 NORTH BRIDGE ROAD,29769.372986310002000,30265.920621249999000,103.849217130000000,1.289988700000000,1978,"6338 0281 
6338 567*","太上道祖, 五教圣人",广东省,广东省 潮州市,,,0,NA,NA
143,224.000000000000000,Fojiao Mantuluo Xuehui,佛教曼荼罗学会,佛教曼荼羅學會,BUDDHA DHAMMA MANDALA SOCIETY ,567-A Balestier Road  329884,329884,567 BALESTIER ROAD,29224.936437180000000,34292.525461819998000,103.844325299999990,1.326403920000000,,6352 2859,,NA,NA,,,0,NA,NA
51,95.000000000000000,Chuangjia Xuehui Zhiluobulanya,创价学会 直落布蘭雅,創價學會 直落布蘭雅,Telok Blangah Soka Centre,91 Wishart Road 098728,098728,91 WISHART ROAD,25685.344453469999000,28129.877168409999000,103.812520600000000,1.270671030000000,,,,NA,NA,,,0,NA,NA
92,152.000000000000000,Deguangdao Tianjiang Fotang Taiyanggong,德光岛天降佛堂太阳宫,德光島天降佛堂太陽宮,Pulau Tekong Joint Temple,51 Bedok North Ave 4 469695,469695,51 BEDOK NORTH AVENUE 4,40871.871452599997000,35346.972723979998000,103.948979720000000,1.335937250000000,1960,,"太阳公, 三师爷, 緞伯公",NA,NA, a village on Pulau Tekong known as Pasir Merah,,0,NA,NA
2,2.000000000000000,Amituofo Fojiao Zhongxin,阿弥陀佛佛教中心,阿彌陀佛佛教中心,Amitabha Buddhist Centre,44 Lorong 25A Geylang 388244,388244,44 LORONG 25A GEYLANG,33559.617502929999000,33013.437396870002000,103.883274529999990,1.314835820000000,1989,6745 8547 ,阿弥陀佛,福建省,福建省,3 Lorong 15 Geylang ,http://www.fpmtabc.org,0,NA,NA
21,36.000000000000000,Beishan Tan ,北善坛,北善壇,Beishan Tan ,BLK 758 Jurong West Street74 #01-96 640758,640758,758 JURONG WEST STREET 74,13201.759599440000000,36919.194800199999000,103.700347170000000,1.350154950000000,,,,NA,NA,,,0,NA,NA
57,105.000000000000000,Ciguan Tan ,慈观坛,慈觀壇,Ciguan Tan ,BLK 22 Jalan Tenteram #04-557 320022,320022,22 JALAN TENTERAM,30919.880689009999000,34293.240331059998000,103.859555300000000,1.326410270000000,,,,NA,NA,,,0,NA,NA
112,184.000000000000000,Enqing Si ,恩庆寺,恩慶寺,Ean Keng Si Buddhist Tp ,48 Frankel Avenue 458176,458176,48 FRANKEL AVENUE,37493.953633819998000,33033.233445190002000,103.918626500000000,1.315013880000000,,,释迦牟尼佛,福建省,福建省,,,0,NA,NA
145,227.000000000000000,Fotuo Fojiao Zhongxin,佛陀佛教中心,佛教佛教中心,Dhamma Duta Buddhist Centre,"11, Lorong Bachok Geylang  387785",387785,11 LORONG BACHOK,33138.166793819997000,32925.858620460000000,103.879487569999990,1.314043860000000,,6742 5053 ,,NA,NA,,,0,NA,NA
54,98.000000000000000,Chuangjia Xuehui Danbinni,创价学会  淡濱尼,創價學會  淡濱尼,Tampines Soka Centre,5 Tampines Street 92 528890,528890,5 TAMPINES STREET 92,40212.950280700003000,36283.654435010001000,103.943059320000000,1.344408520000000,,,日莲,众多方言,众多方言,,,0,NA,NA
